STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AL	0100100	02582661	Abanda CDP	7764035	34284	2.998	0.013	33.091627	-85.527029
AL	0100124	02403054	Abbeville city	40255352	107642	15.543	0.042	31.564216	-85.259634
AL	0100460	02403063	Adamsville city	65083153	29719	25.129	0.011	33.605751	-86.974650
AL	0100484	02405123	Addison town	9753286	83426	3.766	0.032	34.202689	-87.177901
AL	0100676	02405125	Akron town	1778126	13850	0.687	0.005	32.879417	-87.741757
AL	0100820	02403069	Alabaster city	64860720	747585	25.043	0.289	33.214355	-86.823080
AL	0100988	02403074	Albertville city	68780663	258708	26.556	0.100	34.263130	-86.210660
AL	0101132	02403077	Alexander City city	105771865	737649	40.839	0.285	32.927240	-85.937122
AL	0101180	02402638	Alexandria CDP	28786548	33123	11.115	0.013	33.765175	-85.879596
AL	0101228	02403080	Aliceville city	11814094	0	4.561	0.000	33.123744	-88.159445
AL	0101396	02405136	Allgood town	2690287	1452	1.039	0.001	33.907623	-86.516109
AL	0101660	02405146	Altoona town	11184173	25442	4.318	0.010	34.039218	-86.305671
AL	0101708	02403097	Andalusia city	50909454	405923	19.656	0.157	31.309436	-86.478031
AL	0101756	02405149	Anderson town	3347216	1520	1.292	0.001	34.915675	-87.274274
AL	0101852	02403101	Anniston city	118195671	179314	45.636	0.069	33.673441	-85.810918
AL	0102116	02403104	Arab city	33622862	345993	12.982	0.134	34.330328	-86.500771
AL	0102260	02405163	Ardmore town	5291591	21830	2.043	0.008	34.987805	-86.828764
AL	0102320	02405164	Argo town	27900833	150291	10.773	0.058	33.691132	-86.505436
AL	0102428	02405166	Ariton town	13182490	0	5.090	0.000	31.597772	-85.713061
AL	0102500	02405167	Arley town	9740643	33994	3.761	0.013	34.076353	-87.219298
AL	0102836	02405172	Ashford town	16310691	55209	6.298	0.021	31.185284	-85.236236
AL	0102860	02405173	Ashland town	18969216	85048	7.324	0.033	33.269892	-85.833706
AL	0102908	02403122	Ashville city	49762892	487142	19.214	0.188	33.836160	-86.271667
AL	0102956	02403123	Athens city	102400644	656696	39.537	0.254	34.778334	-86.949534
AL	0103004	02403129	Atmore city	56597992	195371	21.853	0.075	31.131087	-87.459254
AL	0103028	02403130	Attalla city	18079285	0	6.980	0.000	33.986189	-86.121037
AL	0103076	02403132	Auburn city	150393881	2670435	58.067	1.031	32.607722	-85.489545
AL	0103220	02405187	Autaugaville town	19735787	525422	7.620	0.203	32.432563	-86.658752
AL	0103364	02405191	Avon town	6855898	53694	2.647	0.021	31.179724	-85.279184
AL	0103508	02628577	Axis CDP	10166833	28420	3.925	0.011	30.922562	-88.021852
AL	0103556	02405195	Babbie town	29709368	302276	11.471	0.117	31.302083	-86.319437
AL	0103676	02405198	Baileyton town	13620107	146523	5.259	0.057	34.260858	-86.608788
AL	0103724	02405200	Bakerhill town	7126271	0	2.751	0.000	31.776923	-85.295408
AL	0103820	02582662	Ballplay CDP	60774753	431593	23.465	0.167	34.021721	-85.799358
AL	0103940	02405206	Banks town	5145763	0	1.987	0.000	31.813265	-85.836435
AL	0104660	02403825	Bay Minette city	22194827	167924	8.569	0.065	30.882598	-87.778020
AL	0104684	02403828	Bayou La Batre city	19368825	368670	7.478	0.142	30.407586	-88.263271
AL	0104852	02405219	Bear Creek town	35295452	345551	13.628	0.133	34.255586	-87.712516
AL	0104900	02405221	Beatrice town	3503546	0	1.353	0.000	31.733309	-87.209046
AL	0104948	02405225	Beaverton town	11882781	0	4.588	0.000	33.935411	-88.021778
AL	0105140	02628578	Belgreen CDP	3180829	15104	1.228	0.006	34.474679	-87.861703
AL	0105164	02405230	Belk town	3588961	0	1.386	0.000	33.651647	-87.928609
AL	0105188	02628579	Bellamy CDP	9780479	108299	3.776	0.042	32.463658	-88.131481
AL	0105212	02632282	Belle Fontaine CDP	4026438	939300	1.555	0.363	30.492531	-88.106544
AL	0105692	02405243	Benton town	781979	89459	0.302	0.035	32.307931	-86.817546
AL	0105932	02405250	Berry town	27887358	15029	10.767	0.006	33.663946	-87.607837
AL	0105980	02403864	Bessemer city	103204776	439842	39.848	0.170	33.370824	-86.971504
AL	0106460	02405265	Billingsley town	3383298	3909	1.306	0.002	32.660520	-86.709707
AL	0107000	02403868	Birmingham city	378310927	6590665	146.067	2.545	33.527444	-86.799047
AL	0107120	02405270	Black town	7980189	0	3.081	0.000	31.010249	-85.742791
AL	0107456	02405280	Blountsville town	14032552	179787	5.418	0.069	34.075678	-86.583679
AL	0107588	02402696	Blue Ridge CDP	20114402	229678	7.766	0.089	32.496440	-86.181179
AL	0107672	02405286	Blue Springs town	7500883	0	2.896	0.000	31.663516	-85.503527
AL	0107912	02403886	Boaz city	37683457	161880	14.550	0.063	34.199020	-86.155152
AL	0108104	02405297	Boligee town	10231296	36323	3.950	0.014	32.768100	-88.028579
AL	0108248	02405301	Bon Air town	3436489	15386	1.327	0.006	33.259078	-86.327288
AL	0108680	02628580	Boykin CDP	6888212	30520	2.660	0.012	32.068375	-87.294343
AL	0109016	02405315	Brantley town	8047483	130816	3.107	0.051	31.581992	-86.256784
AL	0109064	02582663	Brantleyville CDP	5609121	25998	2.166	0.010	33.219304	-86.882522
AL	0109136	02403918	Brent city	22738631	78711	8.779	0.030	32.944893	-87.172088
AL	0109208	02403921	Brewton city	29015119	610000	11.203	0.236	31.109175	-87.076583
AL	0109328	02403924	Bridgeport city	11427466	334212	4.412	0.129	34.950711	-85.723564
AL	0109400	02403925	Brighton city	3672971	0	1.418	0.000	33.439227	-86.945389
AL	0109424	02405321	Brilliant town	27687368	0	10.690	0.000	34.025353	-87.769145
AL	0109457	02582664	Bristow Cove CDP	28083741	0	10.843	0.000	34.109216	-86.240993
AL	0109500	02582665	Brook Highland CDP	7327440	139922	2.829	0.054	33.442230	-86.686598
AL	0109736	02405331	Brookside town	16585260	27676	6.404	0.011	33.638265	-86.898180
AL	0109808	02405333	Brookwood town	21661069	242094	8.363	0.093	33.239341	-87.328588
AL	0109880	02582666	Broomtown CDP	12156602	0	4.694	0.000	34.365728	-85.532112
AL	0110240	02403943	Brundidge city	25241236	83710	9.746	0.032	31.717639	-85.817550
AL	0110456	02628581	Bucks CDP	1003319	92977	0.387	0.036	31.016795	-88.026339
AL	0111032	02405351	Butler town	14419995	0	5.568	0.000	32.095113	-88.213970
AL	0111416	02403965	Calera city	62394231	740407	24.091	0.286	33.120947	-86.744636
AL	0111488	02628582	Calvert CDP	8918395	48801	3.443	0.019	31.154472	-88.010460
AL	0111512	02403975	Camden city	10836796	34892	4.184	0.013	31.998816	-87.289775
AL	0111680	02405370	Camp Hill town	23283460	256576	8.990	0.099	32.797836	-85.655984
AL	0112016	02403992	Carbon Hill city	14245459	221478	5.500	0.086	33.894991	-87.522078
AL	0112040	02405377	Cardiff town	649166	0	0.251	0.000	33.647188	-86.930557
AL	0112070	02582667	Carlisle-Rockledge CDP	41929647	12741	16.189	0.005	34.114451	-86.124073
AL	0112112	02628583	Carlton CDP	11706473	32354	4.520	0.012	31.348571	-87.835666
AL	0112160	02405380	Carolina town	2871453	20504	1.109	0.008	31.234150	-86.521001
AL	0112304	02405384	Carrollton town	5331434	59271	2.058	0.023	33.261904	-88.095071
AL	0112496	02406236	Castleberry town	4431205	48957	1.711	0.019	31.299678	-87.029129
AL	0112544	02628584	Catherine CDP	5944728	0	2.295	0.000	32.186170	-87.469978
AL	0112760	02406240	Cedar Bluff town	13131709	152247	5.070	0.059	34.221422	-85.588565
AL	0113264	02404020	Center Point city	15841463	28426	6.116	0.011	33.643903	-86.684567
AL	0113648	02404025	Centre city	29621528	241373	11.437	0.093	34.155363	-85.668842
