1	20 Mile Hill	KTMH	65	43.12	-106.33
2	ABERDEEN REGIONAL AIRPORT	KABR	54	45.45	-98.42
3	ABILENE REGIONAL AIRPORT	KABI	57	32.42	-99.68
4	ABRAHAM LINCOLN CAPITAL AIRPORT 	KSPI	16	39.85	-89.68
5	ADIRONDACK REGIONAL AIRPORT	KSLK	41	44.4	-74.2
6	ADRIAN LENAWEE COUNTY AIRPORT	KADG	25	41.87	-84.08
7	AEROFLEX-ANDOVER AIRPORT	K12N	36	41.02	-74.73
8	AKRON FULTON INTERNATIONAL	KAKR	42	41.03	-81.47
9	AKRON-CANTON REGIONAL AIRPORT 	KCAK	42	40.92	-81.45
10	ALBANY INTERNATIONAL AIRPORT	KALB	41	42.75	-73.8
11	ALBANY SOUTHWEST GEORGIA	KABY	12	31.53	-84.2
12	ALBUQUERQUE INTERNATIONAL AIRPORT	KABQ	37	35.03	-106.6
13	ALEXANDRIA ESLER RGNL AIRPORT 	KESF	20	31.4	-92.3
14	ALEXANDRIA INTERNATIONAL AIRPORT	KAEX	20	31.55	-92.93
15	ALICE INTERNATIONAL AIRPORT	KALI	57	27.73	-98.02
16	ALLEN ARMY AIRFIELD	PABI	1	64	-145.72
17	ALLIANCE MUNICIPAL AIRPORT	KAIA	33	42.05	-102.8
18	ALMA BACON COUNTY AIRPORT	KAMG	12	31.53	-82.5
19	ALPENA COUNTY REGIONAL AIRPORT	KAPN	25	45.08	-83.57
20	ALTOONA-BLAIR COUNTY AIRPORT	KAOO	46	40.3	-78.32
21	ALTURAS	KAAT	6	41.48	-120.57
22	AMARILLO INTERNATIONAL AIRPORT	KAMA	57	35.22	-101.72
23	AMES MUNICIPAL AIRPORT	KAMW	14	41.98	-93.62
24	ANCHORAGE MERRILL FIELD	PAMR	1	61.22	-149.85
25	ANDERSON COUNTY AIRPORT	KAND	53	34.5	-82.72
26	ANN ARBOR MUNICIPAL AIRPORT	KARB	25	42.22	-83.75
27	ANNAPOLIS US NAVAL ACADEMY	KNAK	23	38.98	-76.48
28	ANNETTE ISLAND AIRPORT	PANT	1	55.03	-131.58
29	ANNISTON METRO AIRPORT	KANB	2	33.58	-85.85
30	APALACHICOLA MUNICIPAL AIRPORT	KAAF	11	29.73	-85.02
31	ARCATA/EUREKA ARCATA AIRPORT	KACV	6	40.98	-124.1
32	ARLINGTON MUNICIPAL AIRPORT	KGKY	57	32.67	-97.1
33	ASHEVILLE REGIONAL AIRPORT	KAVL	31	35.43	-82.53
34	ASHLAND KENNEDY MEMORIAL	KASX	63	46.55	-90.92
35	ASHTABULA COUNTY AIRPORT	KHZY	42	41.78	-80.7
36	ASPEN-PITKIN COUNTY AIRPORT	KASE	7	39.23	-106.87
37	ATHENS BEN EPPS AIRPORT	KAHN	12	33.95	-83.33
38	ATLANTA DE KALB-PEACHTREE	KPDK	12	33.88	-84.3
39	ATLANTA FULTON COUNTY AIRPORT 	KFTY	12	33.78	-84.52
40	ATLANTIC CITY INTERNATIONAL	KACY	36	39.47	-74.58
41	AUGUSTA BUSH FIELD	KAGS	12	33.37	-81.97
42	AUGUSTA DANIEL FIELD	KDNL	12	33.47	-82.03
43	AUGUSTA STATE AIRPORT	KAUG	24	44.32	-69.8
44	AURORA STATE AIRPORT	KUAO	45	45.25	-122.77
45	AUSTIN STRAUBEL INTERNATIONAL AIRPORT 	KGRB	63	44.48	-88.13
46	AUSTIN-BERGSTROM INTERNATIONAL AIRPORT	KAUS	57	30.18	-97.68
47	AVALON CATALINA AIRPORT	KAVX	6	33.4	-118.42
48	Aberdeen Proving Grounds, Md.		23	39.5	-76.57
49	Abilene, Dyess Air Force Base	KDYS	57	32.42	-99.86
50	Abingdon	KVJI	59	36.68	-82.03
51	Ada, Ada Municipal Airport	KADH	43	34.8	-96.67
52	Adak Island, Adak Airport	PADK	1	51.88	-176.65
53	Agana, Guam International Airport	PGUM		13.48	144.8
54	Ahoskie, Tri-County Airport	KASJ	31	36.3	-77.17
55	Ainsworth Municipal	KANW	33	42.58	-100
56	Air Force Academy	KAFF	7	38.97	-104.82
57	Airlake	KY12	26	44.63	-93.23
58	Aitkin, Aitkin Municipal Airport-Steve Kurtz Field	KAIT	26	46.55	-93.68
59	Ajo Municipal	KP01	4	32.45	-112.87
60	Alameda Naval Air Station	KNGZ	6	37.78	-122.32
61	Alamogordo-White	KALM	37	32.83	-105.98
62	Albany NEXRAD	KENX	41	42.6	-74.07
63	Albemarle, Stanly County Airport	KVUJ	31	35.42	-80.15
64	Albert Lea, Albert Lea Municipal Airport	KAEL	26	43.68	-93.37
65	Albertville, Albertville Municipal Airport	K8A0	2	34.23	-86.26
66	Albion, Albion Municipal Airport	KBVN	33	41.73	-98.06
67	Albuquerque Nexrad	KABX	37	35.15	-106.82
68	Albuquerque Radar Site	KZAB	37	35.17	-106.57
69	Albuquerque, Double Eagle II Airport	KAEG	37	35.15	-106.8
70	Alexander City, Thomas C Russell Field Airport	KALX	2	32.91	-85.96
71	Algona	KAXA	14	43.08	-94.27
72	Alki Point Coast Guard Light Station	K91S	62	47.52	-122.42
73	Alma, Gratiot Community Airport	KAMN	25	43.32	-84.69
74	Alpine, Alpine-Casparis Municipal Airport	KE38	57	30.38	-103.68
75	Alton/St. Louis, St. Louis Regional Airport	KALN	16	38.9	-90.05
76	Altus Air Force Base	KLTS	43	34.65	-99.27
77	Altus, Altus/Quartz Mountain Regional Airport	KAXS	43	34.7	-99.34
78	Alva, Alva Regional Airport	KAVK	43	36.77	-98.67
79	Ambler, Ambler Airport	PAFM	1	67.1	-157.85
80	Ambrose / Ft. Tilden	KN28	41	40.45	-73.82
81	Amelia / Lake Palourd	K7R3	20	29.7	-91.1
82	Anacapa Island	KL46	6	34.02	-119.37
83	Anaktuvuk Pass, Anaktuvuk Pass Airport	PAKP	1	68.13	-151.74
84	Anchorage, Elmendorf Air Force Base	PAED	1	61.25	-149.79
85	Anchorage, Lake Hood Sea Plane Base	KLHD	1	61.18	-149.96
86	Anchorage, Merrill Field	KMRI	1	61.22	-149.85
87	Andersen, Mariana Is, Andersen Air Force Base	PGUA		13.58	144.93
88	Anderson Municipal	KAID	17	40.12	-85.62
89	Andrews, Andrews-Murphy Airport	KRHP	31	35.2	-83.86
90	Angoon	PAGN	1	57.5	-134.58
91	Aniak, Aniak Airport	PANI	1	61.58	-159.54
92	Ankeny, Ankeny Regional Airport	KIKV	14	41.69	-93.57
93	Annapolis Coast Guard Station	K61W	23	38.92	-76.47
94	Annette, Annette Island Airport	KANN	1	55.03	-131.58
95	Antigo, Langlade County Airport	KAIG	63	45.15	-89.1
96	Anvik, Anvik Airport	PANV	1	62.65	-160.19
97	Apalachicola, Apalachicola	KAQQ	11	29.73	-85.02
98	Apple Valley	KAPV	6	34.58	-117.18
99	Appleton / Outagamie	KATW	63	44.25	-88.52
100	Appleton, Appleton Municipal Airport	KAQP	26	45.23	-96
101	Aquadilla, Rafael Hernandez Airport	TJBQ	49	18.5	-67.13
102	Arctic Village, Arctic Village Airport	PARC	1	68.11	-145.58
103	Ardmore, Ardmore Downtown Executive Airport	K1F0	43	34.15	-97.12
104	Ardmore, Ardmore Municipal Airport	KADM	43	34.3	-97.02
105	Arkadelphia, Dexter B Florence Memorial Field Airport	KM89	3	34.1	-93.07
106	Arlington	KARL	65	41.7	-106.22
107	Arlington Municipal	KAWO	62	48.17	-122.17
108	Artesia, Artesia Municipal Airport	KATS	37	32.85	-104.47
109	Asheboro, Asheboro Municipal Airport	KW44	31	35.65	-79.9
110	Ashtabula Coast Guard Station	K20G	42	41.92	-80.8
111	Ashtabula, Ashtabula County Airport	KSHI	42	41.78	-80.7
112	Astor, Bombing Range Detachment Astor	KNAE	11	29.14	-81.63
113	Atka, Atka Airport	PAAK	1	52.22	-174.21
114	Atlantic	KAIO	14	41.4	-95.05
115	Atlantic City Coast Guard Station	K55N	36	39.38	-74.42
116	Atlantic, Atlantic Field Outlying Landing Field	KNLT	31	34.88	-76.34
117	Atlantis	KATP	20	27.2	-90.03
118	Atoka, Atoka Municipal Airport	KAQR	11	34.4	-96.15
119	Attu			52.83	173.18
120	Auburn	KZSE	62	47.28	-122.18
121	Auburn University Automatic Meteorological Observing System	KAUB	2	32.6	-85.5
122	Auburn, Auburn Municipal Airport	KAUN	6	38.95	-121.07
